PC,explained_variance,explained_variance_ratio,explained_variance_percent,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
PC31,8.405077842510883e-08,2.150784467239409e-06,0.0002150784467239409,0.9999937847338322,99.99937847338322
PC32,7.48678774318138e-08,1.91580221971419e-06,0.00019158022197141898,0.9999957005360519,99.9995700536052
PC33,5.573103980712496e-08,1.426107610259296e-06,0.0001426107610259296,0.9999971266436621,99.99971266436621
PC34,3.8696836455153855e-08,9.902175368096938e-07,9.902175368096937e-05,0.999998116861199,99.9998116861199
PC35,2.2752885320869734e-08,5.822260453733902e-07,5.822260453733902e-05,0.9999986990872444,99.99986990872443
PC36,1.5455664787878077e-08,3.954966792633152e-07,3.954966792633152e-05,0.9999990945839237,99.99990945839237
PC37,1.08567363964742e-08,2.778142028423365e-07,2.7781420284233648e-05,0.9999993723981265,99.99993723981265
PC38,7.688491502450907e-09,1.9674164130089297e-07,1.9674164130089296e-05,0.9999995691397678,99.99995691397679
PC39,6.34337973143051e-09,1.6232143058994364e-07,1.6232143058994365e-05,0.9999997314611985,99.99997314611984
PC40,4.116144919160875e-09,1.0532847789060984e-07,1.0532847789060984e-05,0.9999998367896764,99.99998367896764
PC41,1.9466092118261763e-09,4.9811993833125133e-08,4.9811993833125135e-06,0.9999998866016703,99.99998866016703
PC42,1.6141957321091057e-09,4.130582931837868e-08,4.130582931837868e-06,0.9999999279074996,99.99999279074996
PC43,1.0402915770167898e-09,2.662013377117398e-08,2.6620133771173977e-06,0.9999999545276334,99.99999545276333
PC44,5.506867091722379e-10,1.4091581810371571e-08,1.4091581810371572e-06,0.9999999686192151,99.99999686192152
PC45,3.9052916180339164e-10,9.993292994414918e-09,9.993292994414918e-07,0.9999999786125081,99.9999978612508
PC46,2.791346313117641e-10,7.142806295706999e-09,7.142806295706999e-07,0.9999999857553145,99.99999857553145
PC47,1.5455190473391836e-10,3.9548454197858435e-09,3.9548454197858436e-07,0.9999999897101599,99.999998971016
PC48,1.2949608805221005e-10,3.3136894145379778e-09,3.313689414537978e-07,0.9999999930238493,99.99999930238494
